Date,Open,High,Low,Close,Adj Close,Volume
1989-12-01,161.42999267578125,166.3800048828125,159.5449981689453,164.6750030517578,164.6750030517578,6426840000
1990-01-01,164.6750030517578,168.4199981689453,149.9600067138672,153.94000244140625,153.94000244140625,7586500000
1990-02-01,153.94000244140625,158.01499938964844,151.31500244140625,156.24000549316406,156.24000549316406,5923940000
1990-03-01,156.24000549316406,162.80999755859375,155.83999633789062,160.01499938964844,160.01499938964844,6566560000
1990-04-01,160.01499938964844,164.3000030517578,155.5449981689453,157.11500549316406,157.11500549316406,5602440000
1990-05-01,157.11500549316406,172.10499572753906,157.05999755859375,171.3300018310547,171.3300018310547,7193360000
1990-06-01,171.35000610351562,175.14999389648438,166.8800048828125,169.89999389648438,169.89999389648438,6452560000
1990-07-01,169.89999389648438,175.9499969482422,166.64500427246094,169.33999633789062,169.33999633789062,6740640000
1990-08-01,169.33999633789062,170.0,145.44500732421875,153.1999969482422,153.1999969482422,8028520000
1990-09-01,153.1999969482422,155.1300048828125,140.8350067138672,145.72999572753906,145.72999572753906,5370800000
1990-10-01,145.72999572753906,151.97999572753906,139.6649932861328,144.9149932861328,144.9149932861328,7341200000
1990-11-01,144.9149932861328,153.33999633789062,143.6199951171875,152.86500549316406,152.86500549316406,6296480000
1990-12-01,152.86500549316406,157.7550048828125,152.22999572753906,155.22500610351562,155.22500610351562,6233420000
1991-01-01,155.22500610351562,162.9149932861328,145.4149932861328,162.9149932861328,162.9149932861328,7318200000
1991-02-01,162.9149932861328,176.01499938964844,161.11500549316406,174.0399932861328,174.0399932861328,8595280000
1991-03-01,174.0399932861328,180.08999633789062,172.27999877929688,177.71499633789062,177.71499633789062,7853720000
1991-04-01,177.71499633789062,185.0500030517578,175.27999877929688,177.7100067138672,177.7100067138672,8031780000
1991-05-01,177.7100067138672,185.06500244140625,173.65499877929688,185.06500244140625,185.06500244140625,7494840000
1991-06-01,185.06500244140625,185.06500244140625,175.05499267578125,176.55499267578125,176.55499267578125,6486160000
1991-07-01,176.55499267578125,185.14500427246094,176.36000061035156,185.0399932861328,185.0399932861328,6932200000
1991-08-01,185.0399932861328,187.50999450683594,177.0449981689453,186.7449951171875,186.7449951171875,7498220000
1991-09-01,186.7449951171875,187.88499450683594,180.4949951171875,182.00999450683594,182.00999450683594,6483260000
1991-10-01,182.00999450683594,184.7100067138672,176.63999938964844,184.0449981689453,184.0449981689453,8133100000
1991-11-01,184.0449981689453,185.9949951171875,173.77999877929688,176.0050048828125,176.0050048828125,7437020000
1991-12-01,176.0050048828125,193.86500549316406,173.9149932861328,192.77999877929688,192.77999877929688,8296600000
1992-01-01,192.77999877929688,196.4250030517578,189.89500427246094,190.10499572753906,190.10499572753906,10490220000
1992-02-01,190.10499572753906,194.61500549316406,189.0749969482422,192.4550018310547,192.4550018310547,8487780000
1992-03-01,192.4550018310547,193.1199951171875,187.80999755859375,188.80999755859375,188.80999755859375,8095020000
1992-04-01,188.7899932861328,195.5050048828125,184.7100067138672,194.74000549316406,194.74000549316406,8604780000
1992-05-01,194.74000549316406,197.25999450683594,192.65499877929688,195.4199981689453,195.4199981689453,7253300000
1992-06-01,195.4199981689453,196.64500427246094,189.25999450683594,191.88999938964844,191.88999938964844,8418180000
1992-07-01,191.88999938964844,198.47000122070312,190.2050018310547,197.90499877929688,197.90499877929688,8500160000
1992-08-01,197.90499877929688,198.60000610351562,189.9949951171875,192.16000366210938,192.16000366210938,7285460000
1992-09-01,192.16000366210938,197.24000549316406,190.14999389648438,192.10000610351562,192.10000610351562,7993060000
1992-10-01,192.10000610351562,192.9949951171875,181.69000244140625,191.30499267578125,191.30499267578125,8941120000
1992-11-01,191.3000030517578,196.69500732421875,189.1750030517578,196.3699951171875,196.3699951171875,8267520000
1992-12-01,196.3699951171875,202.1750030517578,194.88999938964844,198.32000732421875,198.32000732421875,9658120000
1993-01-01,198.32000732421875,201.96499633789062,193.64999389648438,200.78500366210938,200.78500366210938,10505500000
1993-02-01,200.78500366210938,205.7550048828125,195.8000030517578,203.8300018310547,203.8300018310547,10714160000
1993-03-01,203.8300018310547,210.02999877929688,202.8800048828125,207.17999267578125,207.17999267578125,11327720000
1993-04-01,207.17999267578125,208.74000549316406,200.40499877929688,203.55999755859375,203.55999755859375,11562660000
1993-05-01,203.55999755859375,210.5850067138672,202.10000610351562,208.77999877929688,208.77999877929688,10194380000
1993-06-01,208.7949981689453,211.26499938964844,205.55999755859375,208.3699951171875,208.3699951171875,11056120000
1993-07-01,208.38999938964844,208.9199981689453,203.25,207.2050018310547,207.2050018310547,10583020000
1993-08-01,207.2050018310547,214.2100067138672,206.81500244140625,214.16000366210938,214.16000366210938,10969260000
1993-09-01,214.15499877929688,214.22500610351562,207.44500732421875,210.85000610351562,210.85000610351562,11064660000
1993-10-01,210.85000610351562,215.7050018310547,209.5500030517578,214.09500122070312,214.09500122070312,11882140000
1993-11-01,214.09500122070312,215.33999633789062,209.32000732421875,212.8699951171875,212.8699951171875,11774460000
1993-12-01,212.91000366210938,217.44000244140625,212.49000549316406,214.72999572753906,214.72999572753906,11583260000
1994-01-01,214.77999877929688,223.35000610351562,214.09500122070312,222.84500122070312,222.84500122070312,13260120000
1994-02-01,222.8300018310547,223.60000610351562,216.03500366210938,216.8800048828125,216.8800048828125,11704040000
1994-03-01,216.9149932861328,218.15499877929688,201.1699981689453,206.1649932861328,206.1649932861328,14499160000
1994-04-01,206.1199951171875,208.85000610351562,201.5050048828125,207.5500030517578,207.5500030517578,11468060000
1994-05-01,207.5500030517578,212.55499267578125,204.13999938964844,211.94000244140625,211.94000244140625,11355040000
1994-06-01,211.92999267578125,214.36000061035156,203.48500061035156,205.13999938964844,205.13999938964844,11699660000
1994-07-01,205.13999938964844,213.1999969482422,205.02000427246094,212.55499267578125,212.55499267578125,9957980000
1994-08-01,212.5399932861328,220.7050018310547,210.9550018310547,218.72999572753906,218.72999572753906,12811080000
1994-09-01,218.72999572753906,221.01499938964844,212.91000366210938,214.05999755859375,214.05999755859375,12315040000
1994-10-01,214.05999755859375,220.33999633789062,208.10499572753906,218.88999938964844,218.88999938964844,12701800000
1994-11-01,218.875,218.875,207.19500732421875,210.73500061035156,210.73500061035156,12526820000
1994-12-01,210.66000366210938,216.375,206.6300048828125,214.31500244140625,214.31500244140625,12707980000
1995-01-01,214.25,218.64999389648438,212.93499755859375,218.2550048828125,218.2550048828125,13718340000
